prolific1:1,counterbalance:1,they:1,they:2,they:3,han:1,han:2,han:3,a1:1,a2:1,a3:1,a4:1,a7:1,a8_3:1,a9:1,a10:1,b01:1,b02_1:1,b02_2:1,b03:1,b04:1,b05:1,b06:1,b07:1,b08:1,b09:1,w01:1,w02:1,w03:1,w04:1,w05:1,w06:1,w07:1,w08:1,w09:1,w10:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
5d33589df665c6001ab9a801,2,They are walking their dog,They are being pulled by their dog,They are shouting at their dog ,,,,1,2,2,3,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,26,Female,1,1,1,1,2022-07-11-14-17,2022-07-11-14-20,3
,,,,,,,,1,,,,,,,,,,,,,,4,4,2,1,,,,,1,2,,,,,38,female,3,1,1,1,,2022-07-11-14-14,
60953e706e4315704b74eb1f,1,,,,He is taking his dog for a walk.,The dog is pulling hard on his lead.,The man doesn't know why his dog is pulling so hard.,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,29,Woman,1,1,1,1,2022-07-11-14-19,2022-07-11-14-23,4
5d391da321c802001a00cf6b,2,They person in the image above is walking their dog,They look liked they are being pulled by the dog,I think this person will fall down because they are screaming ,,,,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,32,Woman,5,5,3,4,2022-07-11-14-18,2022-07-11-14-26,8
,,,,,,,,,,,,2,1,1,,,1,,1,4,2,,1,,,2,2,,,4,,2,1,,,58,Female,4,4,4,4,,2022-07-11-14-19,
5de83fac603b1b7971969b8c,2,a person is on a walk witha  dog.,the dog is pulling the person rather than walking along the person.,the person is panicking.,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,4,1,1,1,2,1,1,1,1,26,male,1,1,3,3,2022-07-11-14-15,2022-07-11-14-19,4
600c3219a434df2de6427feb,1,,,,He is walking a dog.,The dog is pulling on the leash.,He seems confused and annoyed that the dog is pulling him.,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,2,4,1,1,1,1,1,4,1,38,male,1,1,1,1,2022-07-11-14-15,2022-07-11-14-23,8
,,,,,,,,,,,1,,,,,,1,,1,,2,,,1,,,,,1,1,,1,,1,,39,female,4,2,1,2,,2022-07-11-14-15,
5b2126f3a806eb000140ab1c,1,,,,He is walking a dog. ,He is thinking about something surprising or shocking he has seen. ,He has come to a sudden stop. ,1,1,1,1,3,1,2,3,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,29,female,1,1,1,1,2022-07-11-14-19,2022-07-11-14-22,3
,,,,,,,,1,1,1,,,,,,,1,,,4,,,,2,1,,,2,3,1,,3,4,,1,20,female,4,4,4,4,,2022-07-11-14-14,
