StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,samtycke,hon1,hon2,hon3,han1,han2,han3,hen1,hen2,hen3,control1,control2,control3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,Q60,Q62,GIS_1,GIS_2,GIS_3,GIS_4,essentialism_1,essentialism_2,essentialism_3,essentialism_4,essentialism_5,essentialism_6,essentialism_7,essentialism_8,hen_attitudes_1,hen_attitudes_2,hen_attitudes_3,hen_use,hen_hear,hen_fam,hen_fam_4_TEXT,Q66,Q68,Q70,Q72,token,han1 - Parent Topics,han1 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,samtycke,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,alder: :,Konsidentitet:,Nedan nagra fragor om hur du upplever din konsidentitet. Ange i vilken utstrackning du haller med om vart och ett av dessa pastaenden. - Min konsidentitet har valdigt lite att gora med vad jag kanner for mig sjalv.,Nedan nagra fragor om hur du upplever din konsidentitet. Ange i vilken utstrackning du haller med om vart och ett av dessa pastaenden. - Min konsidentitet ar en viktig del av min sjalvbild.,Nedan nagra fragor om hur du upplever din konsidentitet. Ange i vilken utstrackning du haller med om vart och ett av dessa pastaenden. - Min konsidentitet ar en viktig aterspegling av vem jag ar.,Nedan nagra fragor om hur du upplever din konsidentitet. Ange i vilken utstrackning du haller med om vart och ett av dessa pastaenden. - Min konsidentitet har inte betydelse for min kansla av vilken sorts person jag ar.,"Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Det finns bara tva kon, man eller kvinna.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Alla vuxna manniskor identifierar sig som antingen man eller kvinna.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - En individ ar antingen man eller kvinna, och ar det hela livet.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Alla man har en penis och alla kvinnor har en vagina.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Det ar bara en social norm att tillskriva bebisar ett kon baserat pa hur deras kroppar ser ut.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - aven en person med genitalier som inte gar att konsbestamma enligt kategorierna kvinna/man ar fortfarande antingen kvinna eller man.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Jag identifierar mig som feminist.","Nedan foljer nagra pastaende om kon och genus. Ange i vilken grad du haller med om vart och ett av dessa.


En del av dessa pastaenden kan upplevas extrema. De finns med eftersom asikter om konsidentitet har visat sig variera mycket. - Jag identifierar mig som HBTQ-person","Nedan foljer nagra fragor om dina asikter om ordet hen.   
 

Hen ar ett pronomen som kan anvandas ickebinart, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan ocksa anvandas mer generellt, till exempel nar nagons kon ar okant eller irrelevant. - Vad ar din allmanna asikt om hen?","Nedan foljer nagra fragor om dina asikter om ordet hen.   
 

Hen ar ett pronomen som kan anvandas ickebinart, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan ocksa anvandas mer generellt, till exempel nar nagons kon ar okant eller irrelevant. - Vad tycker du om hen som ett pronomen for nagon som inte identifierar sig som varken kvinna eller man?","Nedan foljer nagra fragor om dina asikter om ordet hen.   
 

Hen ar ett pronomen som kan anvandas ickebinart, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan ocksa anvandas mer generellt, till exempel nar nagons kon ar okant eller irrelevant. - Vad tycker du om hen i generell anvandning, t ex nar nagons kon ar okant eller irrelevant?",Hur ofta anvander du hen?,Hur ofta tycker du att du ser/hor hen anvandas av andra?,Kanner du till nagon/nagra som anvander hen som sitt pronomen? Markera samtliga alternativ som stammer for dig. - Selected Choice,"Kanner du till nagon/nagra som anvander hen som sitt pronomen? Markera samtliga alternativ som stammer for dig. - Ja, annan person (ange) - Text",Vad tror du att studien handlade om?,Kande du att du forvantades svara pa ett speciellt satt?,Paverkade det hur du svarade? Hur?,Tyckte du att nagra av ansiktena sag konstiga ut eller fick dig att reagera pa nagot speciellt satt?,token,han1 - Parent Topics,han1 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID64""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID59""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID79""}","{""ImportId"":""QID39""}","{""ImportId"":""QID68""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID44_13""}","{""ImportId"":""QID44_14""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""token""}","{""ImportId"":""QID9_TEXT_2ffebbf64f2d404ba0e08341ParTopics""}","{""ImportId"":""QID9_TEXT_2ffebbf64f2d404ba0e08341Topics""}"
2020-11-04 03:06:49,2020-11-04 03:08:57,IP Address,89.236.29.86,100,128,TRUE,2020-11-04 03:08:58,R_1eOEBJVoDPjcp6L,,,,,55.70280457,13.19270325,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,test test,test test,test test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidtest,,
2020-11-05 23:51:21,2020-11-05 23:57:43,IP Address,31.208.56.222,100,382,TRUE,2020-11-05 23:57:44,R_2VJZVvohst4fwi6,,,,,59.32870483,18.07170105,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Anna testar,,,Man,Vet ej,Vet ej,Man,Man,Vet ej,,Kvinna,Kvinna,Vet ej,Kvinna,Vet ej,Kvinna,Vet ej,Vet ej,Man,Kvinna,Kvinna,Kvinna,Kvinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04 10:35:00,2020-11-04 10:37:33,IP Address,81.235.48.189,98,152,FALSE,2020-11-11 10:37:40,R_1nW6WdzoJuADATf,,,,,,,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,,,,testar emma,,,,,,,,Kvinna,,Kvinna,,Kvinna,,Kvinna,Kvinna,,Kvinna,Man,,Kvinna,Kvinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 05:35:48,2020-11-12 05:40:34,IP Address,81.235.62.86,100,286,TRUE,2020-11-12 05:40:34,R_20O3MZAWeOhIN7I,,,,,63.25,18.71670532,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar SUP-brada pa vattnet,Hen motionerar med en paddel pa vattnet,Hen star pa en SUP-brada och paddlar ,,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Kvinna,Man,40,Kvinna,5,6,6,6,5,3,3,4,5,5,4,"Stammer inte alls
1",5,5,6,Nagon gang i manaden,Nagon gang i manaden,"Nej, kanner ingen som anvander hen som sitt pronomen",,Konsnormer och konstillhorighet ,Na,Na,Na,awxpxtc,,
2020-11-12 05:36:58,2020-11-12 05:44:15,IP Address,94.234.45.83,100,436,TRUE,2020-11-12 05:44:16,R_3oNptomr5FE3nkc,,,,,55.605896,13.0007019,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,Han paddelsurfar,Han paddlar,Han paddlar staende,,,,,,,Man,Man,Kvinna,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,22,Man,3,5,5,4,"Stammer helt
7",3,6,"Stammer helt
7","Stammer inte alls
1",4,"Stammer inte alls
1","Stammer inte alls
1","Mycket bra
7","Mycket bra
7","Mycket bra
7",Nagon gang per vecka,Aldrig,"Nej, kanner ingen som anvander hen som sitt pronomen",,"Folks bild av kon, om det kan bestammas grnom att bara se pa nagon. aven om det hur viktigt folk tycker kon ar","Nej, men tycker ordet feminist ar infekterat. Sa en fraga om ifall jag tycker det borde vara jamstallt hade varit battre. Hade svarat ja da.",Ja,"Ja, samma ansikte fast med eller utan skagg for att fa mig att ""tro"" att det var en man/kvinna",accahbt,,
2020-11-12 05:35:45,2020-11-12 05:44:30,IP Address,98.128.166.175,100,524,TRUE,2020-11-12 05:44:30,R_2BwXqQUN3jZFBKE,,,,,57.7071991,11.96679688,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,Hon star upp ,Hon haller i en ara ,Hon star pa nagonting,,,,,,,,,,Man,Man,Icke-binar,Man,Man,Icke-binar,Kvinna,Kvinna,Icke-binar,Kvinna,Man,Man,Kvinna,Kvinna,Icke-binar,Man,Kvinna,Icke-binar,Kvinna,Kvinna,25,Kvinna ,3,"Stammer helt
7","Stammer helt
7",6,4,4,4,"Stammer inte alls
1","Stammer helt
7",4,5,"Stammer inte alls
1",4,5,"Mycket bra
7",Nagon gang i manaden,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,Synen pa vad som ar  man och kvinna ,Na,Na,Na,aqwspzq,,
2020-11-12 05:43:01,2020-11-12 05:46:57,IP Address,95.199.140.123,100,235,TRUE,2020-11-12 05:46:57,R_2V1NxwouZRBferC,,,,,59.32470703,18.05599976,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,,,,Personen paddlar. ,Personen ar I vattnet. ,Personen star upp. ,,,,Man,Man,,Man,Vet ej,Icke-binar,Kvinna,Kvinna,Vet ej,Kvinna,Icke-binar,Kvinna,Kvinna,Kvinna,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Kvinna,28,Man,3,"Stammer helt
7","Stammer helt
7",2,6,6,"Stammer helt
7","Stammer helt
7","Stammer inte alls
1",4,3,2,3,3,"Mycket bra
7",Aldrig,Nagon gang om aret,"Nej, kanner ingen som anvander hen som sitt pronomen",,Konsnormer,Nej,Neu,"Ja vissa sag bade kvinnliga och manliga ut. Man undrar ju om ni andrat bilderna i datorn eller om det ar riktiga personer. En del ser ju faktiskt lite blandade ut i verkligheten, men da kan man se pa resten av kroppen  samt kladstilen om det ar en kille eller tjej oftast. ",acrbpsz,,
2020-11-12 05:39:52,2020-11-12 05:47:28,IP Address,95.140.187.146,100,456,TRUE,2020-11-12 05:47:29,R_yQEj2hMYaGFBjHj,,,,,59.93179321,16.85820007,anonymous,EN,Jag har last informationen ovan och samtycker till att vara med i studien,,,,Han paddlar,Han star och paddlar SUP ,Han star och paddlar,,,,,,,Man,Man,Man,Man,,Man,Kvinna,Kvinna,Icke-binar,Icke-binar,Man,Kvinna,Man,Icke-binar,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,27,Kvinna,"Stammer helt
7",4,4,"Stammer helt
7",4,"Stammer inte alls
1","Stammer inte alls
1",5,2,2,6,"Stammer inte alls
1",4,5,6,Nagon gang om aret,Nagon gang per vecka,"Nej, kanner ingen som anvander hen som sitt pronomen",,"Synen pa vad som ar kvinnligt och manligt, konstillhorighet ",Nej,,Ja ,atbrxdu,,
