version: 3.4.0
server-time: 2022-04-25-13-02
user_agent: mozilla/5.0 (windows nt 10.0; win64; x64; rv:99.0) gecko/20100101 firefox/99.0
screen_width: 0
screen_height: 0
html_width: 0
html_height: 0
user_time: 0
T: 0
l: condition
stime: 2022-04-25-13-02
t: set
a: 4
l: mc_cb1
stime: 2022-04-25-13-04
T: 91600
t: info
l: mc_156
stime: 2022-04-25-13-04
T: 3408
t: radio
a: 1
l: mc_23
stime: 2022-04-25-13-04
T: 3064
t: radio
a: 2
l: mc_110
stime: 2022-04-25-13-04
T: 1736
t: radio
a: 1
l: mc_61
stime: 2022-04-25-13-04
T: 958
t: radio
a: 1
l: mc_57
stime: 2022-04-25-13-04
T: 1466
t: radio
a: 2
l: mc_27
stime: 2022-04-25-13-04
T: 1370
t: radio
a: 1
l: mc_69
stime: 2022-04-25-13-04
T: 1003
t: radio
a: 1
l: mc_105
stime: 2022-04-25-13-04
T: 933
t: radio
a: 1
l: mc_20
stime: 2022-04-25-13-04
T: 1069
t: radio
a: 1
l: mc_152
stime: 2022-04-25-13-04
T: 877
t: radio
a: 1
l: mc_26
stime: 2022-04-25-13-04
T: 966
t: radio
a: 1
l: mc_140
stime: 2022-04-25-13-04
T: 928
t: radio
a: 1
l: mc_31
stime: 2022-04-25-13-04
T: 640
t: radio
a: 1
l: mc_30
stime: 2022-04-25-13-04
T: 2395
t: radio
a: 2
l: mc_109
stime: 2022-04-25-13-04
T: 1731
t: radio
a: 1
l: mc_15
stime: 2022-04-25-13-04
T: 1836
t: radio
a: 2
l: mc_108
stime: 2022-04-25-13-04
T: 1049
t: radio
a: 2
l: mc_60
stime: 2022-04-25-13-04
T: 883
t: radio
a: 2
l: mc_136
stime: 2022-04-25-13-04
T: 693
t: radio
a: 2
l: mc_62
stime: 2022-04-25-13-04
T: 1519
t: radio
a: 1
l: mc_101
stime: 2022-04-25-13-04
T: 1174
t: radio
a: 1
l: mc_63
stime: 2022-04-25-13-04
T: 738
t: radio
a: 1
l: mc_141
stime: 2022-04-25-13-04
T: 692
t: radio
a: 1
l: mc_67
stime: 2022-04-25-13-04
T: 941
t: radio
a: 1
l: mc_150
stime: 2022-04-25-13-04
T: 1904
t: radio
a: 2
l: mc_153
stime: 2022-04-25-13-04
T: 1209
t: radio
a: 1
l: mc_59
stime: 2022-04-25-13-04
T: 2548
t: radio
a: 2
l: mc_64
stime: 2022-04-25-13-04
T: 1306
t: radio
a: 2
l: mc_155
stime: 2022-04-25-13-04
T: 1284
t: radio
a: 1
l: mc_103
stime: 2022-04-25-13-04
T: 910
t: radio
a: 1
l: mc_142
stime: 2022-04-25-13-04
T: 643
t: radio
a: 1
l: mc_16
stime: 2022-04-25-13-05
T: 1634
t: radio
a: 2
l: mc_102
stime: 2022-04-25-13-05
T: 1230
t: radio
a: 1
l: mc_05
stime: 2022-04-25-13-05
T: 955
t: radio
a: 1
l: mc_32
stime: 2022-04-25-13-05
T: 1098
t: radio
a: 1
l: mc_34
stime: 2022-04-25-13-05
T: 1031
t: radio
a: 1
l: mc_68
stime: 2022-04-25-13-05
T: 945
t: radio
a: 1
l: mc_03
stime: 2022-04-25-13-05
T: 1064
t: radio
a: 1
l: mc_25
stime: 2022-04-25-13-05
T: 888
t: radio
a: 1
l: mc_137
stime: 2022-04-25-13-05
T: 2975
t: radio
a: 2
l: mc_151
stime: 2022-04-25-13-05
T: 4799
t: radio
a: 2
l: mc_111
stime: 2022-04-25-13-05
T: 1436
t: radio
a: 1
l: mc_106
stime: 2022-04-25-13-05
T: 2275
t: radio
a: 2
l: mc_65
stime: 2022-04-25-13-05
T: 2170
t: radio
a: 2
l: mc_107
stime: 2022-04-25-13-05
T: 1569
t: radio
a: 2
l: mc_66
stime: 2022-04-25-13-05
T: 1312
t: radio
a: 2
l: mc_113
stime: 2022-04-25-13-05
T: 1393
t: radio
a: 1
l: mc_138
stime: 2022-04-25-13-05
T: 3063
t: radio
a: 2
l: mc_35
stime: 2022-04-25-13-05
T: 1687
t: radio
a: 1
l: mc_02
stime: 2022-04-25-13-05
T: 1746
t: radio
a: 2
l: mc_139
stime: 2022-04-25-13-05
T: 4927
t: radio
a: 2
l: mc_58
stime: 2022-04-25-13-05
T: 1060
t: radio
a: 2
l: mc_17
stime: 2022-04-25-13-05
T: 689
t: radio
a: 2
l: mc_70
stime: 2022-04-25-13-05
T: 1544
t: radio
a: 1
l: mc_22
stime: 2022-04-25-13-05
T: 1677
t: radio
a: 2
l: mc_24
stime: 2022-04-25-13-05
T: 988
t: radio
a: 2
l: mc_21
stime: 2022-04-25-13-05
T: 1432
t: radio
a: 1
l: mc_06
stime: 2022-04-25-13-05
T: 1375
t: radio
a: 1
l: mc_28
stime: 2022-04-25-13-05
T: 1813
t: radio
a: 1
l: mc_104
stime: 2022-04-25-13-05
T: 867
t: radio
a: 1
l: mc_01
stime: 2022-04-25-13-05
T: 1650
t: radio
a: 2
l: mc_04
stime: 2022-04-25-13-06
T: 1574
t: radio
a: 1
l: mc_112
stime: 2022-04-25-13-06
T: 841
t: radio
a: 1
l: mc_07
stime: 2022-04-25-13-06
T: 604
t: radio
a: 1
l: mc_29
stime: 2022-04-25-13-06
T: 3738
t: radio
a: 2
l: mc_19
stime: 2022-04-25-13-06
T: 1075
t: radio
a: 1
l: mc_114
stime: 2022-04-25-13-06
T: 695
t: radio
a: 1
l: mc_18
stime: 2022-04-25-13-06
T: 917
t: radio
a: 1
l: mc_33
stime: 2022-04-25-13-06
T: 2103
t: radio
a: 1
l: mc_154
stime: 2022-04-25-13-06
T: 698
t: radio
a: 1
l: demo
stime: 2022-04-25-13-06
T: 3437
t: info
l: Gender
stime: 2022-04-25-13-06
T: 6811
t: textline
a: woman
l: Gender
stime: 2022-04-25-13-06
T: 6811
t: textline
a: woman
l: Age
stime: 2022-04-25-13-06
T: 6811
t: textline
a: 27
l: GBB
stime: 2022-04-25-13-06
T: 2027
t: info
l: Gender_binary_beliefs
stime: 2022-04-25-13-06
T: 12073
t: scale
a: 5
s: 5
a: 5
s: 5
a: 5
s: 5
a: 5
s: 5
endcode: YyEeqyBZ5O
end 2022-04-25-13-06
