counterbalance,prolific,mc_w1_0,mc_w1_1:1,mc_w1_2,mc_w1_3,mc_w1_4,mc_w1_5,mc_w1_6,mc_w3_0,mc_w3_1,mc_w3_2,mc_w3_3,mc_w3_4,mc_w3_5,mc_w3_6,mc_b6_0,mc_b6_1,mc_b6_2,mc_b6_3,mc_b6_4,mc_b6_5,mc_b6_6,mc_b7_0,mc_b7_1,mc_b7_2,mc_b7_3,mc_b7_4,mc_b7_5,mc_b7_6,mc_b9_0,mc_b9_1,mc_b9_2,mc_b9_3,mc_b9_4,mc_b9_5,mc_b9_6,mc_w4_0,mc_w4_1,mc_w4_2,mc_w4_3,mc_w4_4,mc_w4_5,mc_w4_6,mc_w5_0,mc_w5_1,mc_w5_2,mc_w5_3,mc_w5_4,mc_w5_5,mc_w5_6,mc_w10_0,mc_w10_1,mc_w10_2,mc_w10_3,mc_w10_4,mc_w10_5,mc_w10_6,mc_w9_0,mc_w9_1,mc_w9_2,mc_w9_3,mc_w9_4,mc_w9_5,mc_w9_6,mc_b2_0,mc_b2_1,mc_b2_2,mc_b2_3,mc_b2_4,mc_b2_5,mc_b2_6,mc_b4_0,mc_b4_1,mc_b4_2,mc_b4_3,mc_b4_4,mc_b4_5,mc_b4_6,mc_b5_0,mc_b5_1,mc_b5_2,mc_b5_3,mc_b5_4,mc_b5_5,mc_b5_6,Age,Gender,Gender_binary_beliefs,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
3,5f85728b65048601578562b5,2,2,2,1,1,1,1,2,2,2,3,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Female,1,1,1,1,2022-12-01-15-53,2022-12-01-15-56,3
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,27,female,4,2,2,4,2022-12-01-15-50,2022-12-01-15-54,4
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,27,male,3,3,2,2,2022-12-01-15-54,2022-12-01-15-56,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,1,1,1,2,2,2,3,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2,2,1,1,1,3,3,2,2,1,1,1,3,2,2,2,31,Male,5,3,5,5,2022-12-01-15-50,2022-12-01-16-06,16
1,616c3827ba55785051edc9d7,2,2,2,3,3,1,1,2,2,2,3,1,1,1,1,1,1,2,2,2,2,3,1,3,1,2,2,2,1,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,male,2,2,2,2,2022-12-01-15-54,2022-12-01-15-57,3
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,1,1,1,3,3,1,1,1,1,1,2,2,2,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,3,2,3,1,1,1,3,2,2,2,1,1,1,3,2,3,2,44,woman,1,1,1,1,2022-12-01-15-50,2022-12-01-15-55,5
5,60f58b29685594f5e85498ac,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,1,1,1,1,2022-12-01-15-50,2022-12-01-15-52,2
5,55bd09dafdf99b316b14bdd9,2,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,2,2,2,2,1,3,3,3,3,3,2,1,1,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,5,4,5,5,2022-12-01-15-50,2022-12-01-15-52,2
1,6173b4a7f3d52787b51e761e,2,2,3,1,1,1,1,2,2,2,2,1,1,1,1,3,1,1,3,2,2,1,1,3,3,3,2,2,1,1,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,male,1,1,2,5,2022-12-01-15-52,2022-12-01-15-55,3
5,60fd12b459a8dcda3d177cdd,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,female ,1,1,1,1,2022-12-01-15-54,2022-12-01-16-00,6
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,44,female,5,5,5,5,2022-12-01-15-54,2022-12-01-16-01,7
4,5823405287f6b90001f14290,2,2,3,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,3,2,2,2,2,1,1,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,5,1,4,5,2022-12-01-15-54,2022-12-01-15-57,3
4,590b3401182caf0001ab5801,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,2,2,3,1,1,1,2,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,female,5,5,2,5,2022-12-01-15-51,2022-12-01-15-54,3
4,5f6e3b7b65c55c34a0b447ac,2,2,2,3,1,2,1,2,2,2,2,3,2,2,1,1,1,2,2,2,2,1,1,1,3,3,2,2,1,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,female,3,4,1,2,2022-12-01-15-52,2022-12-01-15-55,3
1,6365740d110a1d4e1c79cfac,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Male,4,2,5,5,2022-12-01-15-53,2022-12-01-15-55,2
1,57dfd6a98e00270001b437a4,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Male,4,1,3,3,2022-12-01-15-51,2022-12-01-15-54,3
4,5e81f1279e9c32000b02d15e,2,2,2,2,2,1,1,2,2,2,3,3,3,1,1,1,2,2,3,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,male,5,1,2,5,2022-12-01-15-50,2022-12-01-15-52,2
5,5dcc21c0a913958c073a4041,2,2,2,3,3,1,1,2,2,3,3,1,1,1,1,1,1,3,2,2,2,3,1,2,3,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,female,4,5,5,4,2022-12-01-15-53,2022-12-01-15-56,3
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,1,2,2,3,3,1,1,1,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,3,2,2,2,2,30,Female,1,1,1,1,2022-12-01-15-54,2022-12-01-15-57,3
4,606c1ab70de488e81ce35ade,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Male,5,5,5,5,2022-12-01-15-51,2022-12-01-15-53,2
