version: 3.4.0
server-time: 2022-04-20-16-04
user_agent: mozilla/5.0 (windows nt 10.0; win64; x64; rv:99.0) gecko/20100101 firefox/99.0
screen_width: 0
screen_height: 0
html_width: 0
html_height: 0
user_time: 0
T: 0
l: condition
stime: 2022-04-20-16-04
t: set
a: 4
l: mc_cb1
stime: 2022-04-20-16-07
T: 141486
t: info
l: mc_03
stime: 2022-04-20-16-07
T: 5054
t: radio
a: 1
l: mc_142
stime: 2022-04-20-16-07
T: 3743
t: radio
a: 1
l: mc_141
stime: 2022-04-20-16-07
T: 2675
t: radio
a: 1
l: mc_111
stime: 2022-04-20-16-07
T: 3280
t: radio
a: 1
l: mc_34
stime: 2022-04-20-16-07
T: 2533
t: radio
a: 1
l: mc_17
stime: 2022-04-20-16-07
T: 3328
t: radio
a: 2
l: mc_70
stime: 2022-04-20-16-07
T: 2855
t: radio
a: 1
l: mc_113
stime: 2022-04-20-16-07
T: 4267
t: radio
a: 1
l: mc_25
stime: 2022-04-20-16-07
T: 5926
t: radio
a: 1
l: mc_138
stime: 2022-04-20-16-07
T: 4237
t: radio
a: 2
l: mc_136
stime: 2022-04-20-16-07
T: 2609
t: radio
a: 2
l: mc_102
stime: 2022-04-20-16-08
T: 2565
t: radio
a: 1
l: mc_112
stime: 2022-04-20-16-08
T: 2886
t: radio
a: 1
l: mc_156
stime: 2022-04-20-16-08
T: 2523
t: radio
a: 1
l: mc_27
stime: 2022-04-20-16-08
T: 3050
t: radio
a: 1
l: mc_57
stime: 2022-04-20-16-08
T: 2737
t: radio
a: 2
l: mc_101
stime: 2022-04-20-16-08
T: 2424
t: radio
a: 1
l: mc_04
stime: 2022-04-20-16-08
T: 3230
t: radio
a: 1
l: mc_26
stime: 2022-04-20-16-08
T: 3236
t: radio
a: 1
l: mc_06
stime: 2022-04-20-16-08
T: 2504
t: radio
a: 1
l: mc_139
stime: 2022-04-20-16-08
T: 5475
t: radio
a: 1
l: mc_30
stime: 2022-04-20-16-08
T: 3410
t: radio
a: 2
l: mc_103
stime: 2022-04-20-16-08
T: 2558
t: radio
a: 1
l: mc_35
stime: 2022-04-20-16-08
T: 2850
t: radio
a: 1
l: mc_15
stime: 2022-04-20-16-08
T: 2410
t: radio
a: 2
l: mc_01
stime: 2022-04-20-16-08
T: 2951
t: radio
a: 2
l: mc_21
stime: 2022-04-20-16-08
T: 3118
t: radio
a: 1
l: mc_153
stime: 2022-04-20-16-08
T: 5550
t: radio
a: 4
l: mc_155
stime: 2022-04-20-16-08
T: 2669
t: radio
a: 1
l: mc_29
stime: 2022-04-20-16-09
T: 2562
t: radio
a: 2
l: mc_154
stime: 2022-04-20-16-09
T: 3914
t: radio
a: 1
l: mc_58
stime: 2022-04-20-16-09
T: 2140
t: radio
a: 2
l: mc_33
stime: 2022-04-20-16-09
T: 2001
t: radio
a: 1
l: mc_07
stime: 2022-04-20-16-09
T: 3158
t: radio
a: 1
l: mc_152
stime: 2022-04-20-16-09
T: 8978
t: radio
a: 2
l: mc_23
stime: 2022-04-20-16-09
T: 2365
t: radio
a: 2
l: mc_106
stime: 2022-04-20-16-09
T: 3091
t: radio
a: 2
l: mc_150
stime: 2022-04-20-16-09
T: 2976
t: radio
a: 2
l: mc_16
stime: 2022-04-20-16-09
T: 2028
t: radio
a: 2
l: mc_65
stime: 2022-04-20-16-09
T: 2572
t: radio
a: 2
l: mc_140
stime: 2022-04-20-16-09
T: 4171
t: radio
a: 1
l: mc_32
stime: 2022-04-20-16-09
T: 5882
t: radio
a: 1
l: mc_108
stime: 2022-04-20-16-09
T: 2139
t: radio
a: 2
l: mc_18
stime: 2022-04-20-16-09
T: 4326
t: radio
a: 2
l: mc_151
stime: 2022-04-20-16-09
T: 3493
t: radio
a: 2
l: mc_109
stime: 2022-04-20-16-10
T: 2929
t: radio
a: 2
l: mc_63
stime: 2022-04-20-16-10
T: 2790
t: radio
a: 1
l: mc_22
stime: 2022-04-20-16-10
T: 2191
t: radio
a: 2
l: mc_67
stime: 2022-04-20-16-10
T: 5313
t: radio
a: 4
l: mc_107
stime: 2022-04-20-16-10
T: 2006
t: radio
a: 2
l: mc_62
stime: 2022-04-20-16-10
T: 2358
t: radio
a: 1
l: mc_104
stime: 2022-04-20-16-10
T: 6442
t: radio
a: 1
l: mc_137
stime: 2022-04-20-16-10
T: 1823
t: radio
a: 2
l: mc_66
stime: 2022-04-20-16-10
T: 3712
t: radio
a: 2
l: mc_59
stime: 2022-04-20-16-10
T: 2349
t: radio
a: 2
l: mc_05
stime: 2022-04-20-16-10
T: 5661
t: radio
a: 1
l: mc_64
stime: 2022-04-20-16-10
T: 2188
t: radio
a: 2
l: mc_61
stime: 2022-04-20-16-10
T: 2192
t: radio
a: 1
l: mc_114
stime: 2022-04-20-16-10
T: 2519
t: radio
a: 1
l: mc_31
stime: 2022-04-20-16-10
T: 2986
t: radio
a: 2
l: mc_19
stime: 2022-04-20-16-10
T: 3869
t: radio
a: 1
l: mc_02
stime: 2022-04-20-16-10
T: 3338
t: radio
a: 2
l: mc_20
stime: 2022-04-20-16-11
T: 1952
t: radio
a: 1
l: mc_69
stime: 2022-04-20-16-11
T: 2415
t: radio
a: 1
l: mc_28
stime: 2022-04-20-16-11
T: 3260
t: radio
a: 1
l: mc_60
stime: 2022-04-20-16-11
T: 8954
t: radio
a: 4
l: mc_68
stime: 2022-04-20-16-11
T: 4504
t: radio
a: 4
l: mc_110
stime: 2022-04-20-16-11
T: 3634
t: radio
a: 1
l: mc_24
stime: 2022-04-20-16-11
T: 3962
t: radio
a: 4
l: mc_105
stime: 2022-04-20-16-11
T: 6576
t: radio
a: 4
l: demo
stime: 2022-04-20-16-11
T: 4062
t: info
l: Age
stime: 2022-04-20-16-11
T: 12916
t: textline
a: 38
l: Age
stime: 2022-04-20-16-11
T: 12916
t: textline
a: 38
l: Gender
stime: 2022-04-20-16-11
T: 12916
t: textline
a: female (woman)
l: GBB
stime: 2022-04-20-16-11
T: 3760
t: info
l: Gender_binary_beliefs
stime: 2022-04-20-16-12
T: 52843
t: scale
a: 5
s: 5
a: 4
s: 4
a: 4
s: 4
a: 2
s: 2
endcode: ORAYTWUWpV
end 2022-04-20-16-12
