prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
5eff17d115ba87434ab3829b,2,This person is walking their dog.,Thes person is wondering something.,This person is alarmed by something.,,,,1,1,1,1,4,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,29,Female,1,5,2,1,2022-07-06-12-04,2022-07-06-12-11,7
572ddc58e5c53b000e8dfd78,2,They are taking the dog for a walk,They're a bit frustrated because their dog is pulling on the lead quite a lot ,,,,,1,1,1,1,4,4,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,1,1,3,2,1,1,1,3,4,2,2,1,1,1,1,3,2,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,4,2,2,2,1,1,1,1,3,2,2,28,Female,1,1,1,1,2022-07-06-12-00,2022-07-06-12-06,6
613a351ccdd16e7b9ea085f9,1,,,,He is walking his dog. ,He seems to be in distress. ,His dog is pulling him. ,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,3,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,24,Female,1,1,1,1,2022-07-06-12-03,2022-07-06-12-09,6
5eab992051d980000afe1178,2,Walking their dog ,Dog is going too fast and going crazy ,Owner is trying to calm them down but shouting,,,,1,1,1,1,4,4,4,1,1,1,4,2,2,2,1,1,1,1,4,4,2,1,1,1,1,1,4,2,1,1,1,4,4,4,2,1,1,1,1,4,3,2,1,1,1,4,4,2,2,1,1,1,1,4,4,4,1,1,1,4,4,4,4,1,1,1,4,2,2,2,28,Female ,5,5,5,5,2022-07-06-12-19,2022-07-06-12-22,3
5ac8f26d1667e40001d888ff,1,,,,He is taking a dog for a walk,He is thinking about something,He is outside,1,1,1,4,2,2,2,1,4,2,2,2,2,2,4,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,4,4,4,2,2,1,1,4,2,2,2,2,1,1,1,4,4,2,2,2,4,2,2,2,2,2,1,1,4,4,4,2,2,34,female,3,2,1,3,2022-07-06-11-54,2022-07-06-12-00,6
5ef8bf58eda83205028e0db9,2,They are walking their dog on a lead.,But it seems like the dog is pulling forward and they are digging in their heels.,They seem surprised and confused by being pulled.,,,,1,1,1,1,3,2,2,3,1,3,3,2,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,3,3,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,1,1,1,3,3,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,26,agender,1,1,1,1,2022-07-06-11-54,2022-07-06-11-58,4
5b7f17a7338a93000155a36d,2,The person is being dragged along by a dog on a leash.,They are surprised and confused about the situation and are resisting by dragging their feet on the ground.,They continue to hold the dog on the leash.,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,4,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,4,2,2,2,22,Woman,2,2,2,2,2022-07-06-11-59,2022-07-06-12-06,7
62b0607aba2afc340c0f4389,1,,,,He was taking his dog for walk in the park.,His dog saw other dogs and started to pull his owner because he wanted to play with the other dogs.,He was pulling back on the dogs lead so he could unclip his dog and let him go and play with the other dogs.,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,3,1,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,1,1,1,2,3,2,2,1,1,1,1,2,2,2,3,1,1,2,2,2,2,1,1,1,1,2,2,2,28,Male,4,4,3,3,2022-07-06-11-55,2022-07-06-12-04,9
5cd59972141c860019dde025,2,The person is walking a dog on a lead,The dog is pulling on the lead and they are struggling to control it,They are wondering what to do and are annoyed,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,3,2,2,2,2,1,1,1,1,2,2,2,45,Female,2,1,1,1,2022-07-06-12-01,2022-07-06-12-13,12
5fb4f8799f1ebc2ead2ea064,2,The person is walking their dog.,The dog is pulling the person along quite quickly,"The person is exlaiming, perhaps using expletives, about the dog's actions.",,,,1,4,4,4,2,2,2,4,4,4,4,2,2,2,4,4,1,2,2,2,2,1,4,4,1,4,2,2,1,4,4,4,2,2,2,4,1,1,1,4,2,2,1,4,4,2,2,2,2,1,4,4,4,4,2,2,1,1,4,2,4,2,2,1,1,4,4,2,2,2,39,female,5,2,2,2,2022-07-06-12-02,2022-07-06-12-09,7
