prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
5aa0f69ff6dfdd0001eace90,2,This person is walking an animal ,They are being pulled along by the animal faster than they would like ,They are trying to pull back against the animal with the lead ,,,,1,1,1,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,3,1,3,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,3,4,4,2,2,2,2,1,1,1,1,1,2,2,34,Female,5,1,3,3,2022-07-08-14-14,2022-07-08-14-24,10
596a460792973f0001edc027,2,The person is taking their dog for a walk on a lead.,The dog is pulling hard on the lead and making the person unsteady.,"They don't know why their dog is behaving like this, they are confused and annoyed.",,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,57,Female,2,1,2,3,2022-07-08-14-14,2022-07-08-14-22,8
5de930a76e09cf04fffa0415,2,A person is walking with a dog. ,"Probably the dog is running too fast, so the person has to pull the lead.",It seems the person is a bit angry at the dog.,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,3,2,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,4,2,2,2,2,2,2,1,1,1,1,2,2,2,36,Female,5,4,1,5,2022-07-08-14-11,2022-07-08-14-30,19
5d08fdef9da87a001eed4634,1,,,,He doesn't know where the dog is wanting to go.,He is feeling alarmed by the dog pulling on the lead.,He is trying to walk the dog.,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,4,2,2,2,2,2,1,1,1,2,2,2,2,31,Female,5,2,1,4,2022-07-08-14-12,2022-07-08-14-20,8
5f07767d0f12f2164455a006,1,,,,He is walking his dog,He is being dragged along by his dog,He is wondering why his dog is pulling on the leash and shouting at him to stop.,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,1,1,1,1,1,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,35,Male,3,1,2,4,2022-07-08-14-08,2022-07-08-14-16,8
5eff17d115ba87434ab3829b,2,This person is walking their dog.,Thes person is wondering something.,This person is alarmed by something.,,,,1,1,1,1,4,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,29,Female,1,5,2,1,2022-07-06-12-04,2022-07-06-12-11,7
60dc2b519c5a4528f5801595,2,A person is walking their dog on a lead.,They seem to be confused and shocked by where the dog is leading them.,They appear to be being pulled by the dog in a certain direction.,,,,1,1,1,1,2,2,2,1,4,4,2,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,4,4,3,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,4,4,2,2,2,1,1,4,2,2,2,2,1,1,4,4,2,2,2,43,Female,3,1,1,3,2022-07-08-14-11,2022-07-08-14-18,7
6085706070206a5074a57e80,1,,,,He appears to be walking his dog ~~,His dog has pulled on the lead ,He is confused as to why his dog is acting this way ,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,4,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,4,4,2,2,2,1,1,1,4,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,4,2,2,26,female,1,1,1,1,2022-07-08-14-12,2022-07-08-14-22,10
6015cc8c9807116ee723287d,2,They are walking their dog. ,The dog is pulling their owner who is trying to stop. ,They are upset that their dog will not stop and is pulling them. ,,,,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,25,Female,3,2,2,2,2022-07-08-14-10,2022-07-08-14-17,7
5faaac20cb538f43abbd7c9f,1,,,,A man is walking a dog. ,"The dog is pulling hard on the lead, pulling the man along.",The man is exclaiming out loud.,3,1,1,1,4,2,2,1,1,1,2,2,2,2,1,1,4,4,2,2,2,4,1,1,4,4,2,2,1,1,1,4,4,2,2,1,1,1,1,4,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,1,1,4,4,4,2,2,1,1,4,4,2,2,2,32,Non-binary,1,1,1,1,2022-07-08-14-13,2022-07-08-14-17,4
